Size, Type, Time
100, "Sequential", 0.000020
100, "Parallel", 0.019450
100, "Built-in", 0.000029
1000, "Sequential", 0.000126
1000, "Parallel", 0.025146
1000, "Built-in", 0.000190
10000, "Sequential", 0.000961
10000, "Parallel", 0.024525
10000, "Built-in", 0.001595
100000, "Sequential", 0.022025
100000, "Parallel", 0.023557
100000, "Built-in", 0.018208
1000000, "Sequential", 0.237466
1000000, "Parallel", 0.326165
1000000, "Built-in", 0.217244
2500000, "Sequential", 0.611451
2500000, "Parallel", 0.544674
2500000, "Built-in", 0.586187
5000000, "Sequential", 1.294654
5000000, "Parallel", 1.180327
5000000, "Built-in", 1.235450
100, "Sequential", 0.000010
100, "Parallel", 0.019800
100, "Built-in", 0.000019
1000, "Sequential", 0.000142
1000, "Parallel", 0.029149
1000, "Built-in", 0.000180
10000, "Sequential", 0.001549
10000, "Parallel", 0.024639
10000, "Built-in", 0.001468
100000, "Sequential", 0.020805
100000, "Parallel", 0.023265
100000, "Built-in", 0.018172
1000000, "Sequential", 0.237923
1000000, "Parallel", 0.235557
1000000, "Built-in", 0.217096
2500000, "Sequential", 0.615934
2500000, "Parallel", 0.675035
2500000, "Built-in", 0.581676
5000000, "Sequential", 1.280982
5000000, "Parallel", 1.226103
5000000, "Built-in", 1.225596
100, "Sequential", 0.000010
100, "Parallel", 0.020955
100, "Built-in", 0.000015
1000, "Sequential", 0.000116
1000, "Parallel", 0.027610
1000, "Built-in", 0.000191
10000, "Sequential", 0.001561
10000, "Parallel", 0.028191
10000, "Built-in", 0.001493
100000, "Sequential", 0.020034
100000, "Parallel", 0.031153
100000, "Built-in", 0.017411
1000000, "Sequential", 0.230112
1000000, "Parallel", 0.230758
1000000, "Built-in", 0.217159
2500000, "Sequential", 0.612303
2500000, "Parallel", 0.389822
2500000, "Built-in", 0.585625
5000000, "Sequential", 1.248341
5000000, "Parallel", 1.499991
5000000, "Built-in", 1.228875
100, "Sequential", 0.000010
100, "Parallel", 0.013982
100, "Built-in", 0.000014
1000, "Sequential", 0.000116
1000, "Parallel", 0.025713
1000, "Built-in", 0.000175
10000, "Sequential", 0.001511
10000, "Parallel", 0.028547
10000, "Built-in", 0.001389
100000, "Sequential", 0.020817
100000, "Parallel", 0.024327
100000, "Built-in", 0.017937
1000000, "Sequential", 0.237260
1000000, "Parallel", 0.184819
1000000, "Built-in", 0.222153
2500000, "Sequential", 0.636642
2500000, "Parallel", 0.529448
2500000, "Built-in", 0.582346
5000000, "Sequential", 1.257803
5000000, "Parallel", 1.114950
5000000, "Built-in", 1.219750
100, "Sequential", 0.000010
100, "Parallel", 0.017856
100, "Built-in", 0.000055
1000, "Sequential", 0.000118
1000, "Parallel", 0.022537
1000, "Built-in", 0.000186
10000, "Sequential", 0.001661
10000, "Parallel", 0.020407
10000, "Built-in", 0.002352
100000, "Sequential", 0.019634
100000, "Parallel", 0.034805
100000, "Built-in", 0.018440
1000000, "Sequential", 0.233886
1000000, "Parallel", 0.212682
1000000, "Built-in", 0.217395
2500000, "Sequential", 0.609320
2500000, "Parallel", 0.525290
2500000, "Built-in", 0.586531
5000000, "Sequential", 1.281665
5000000, "Parallel", 1.038759
5000000, "Built-in", 1.224950
100, "Sequential", 0.000009
100, "Parallel", 0.007718
100, "Built-in", 0.000023
1000, "Sequential", 0.000116
1000, "Parallel", 0.020084
1000, "Built-in", 0.000196
10000, "Sequential", 0.002455
10000, "Parallel", 0.020372
10000, "Built-in", 0.001400
100000, "Sequential", 0.022043
100000, "Parallel", 0.026745
100000, "Built-in", 0.018008
1000000, "Sequential", 0.235361
1000000, "Parallel", 0.257983
1000000, "Built-in", 0.216397
2500000, "Sequential", 0.600667
2500000, "Parallel", 0.586254
2500000, "Built-in", 0.585590
5000000, "Sequential", 1.255427
5000000, "Parallel", 1.164705
5000000, "Built-in", 1.220903
100, "Sequential", 0.000009
100, "Parallel", 0.008178
100, "Built-in", 0.000013
1000, "Sequential", 0.000082
1000, "Parallel", 0.023262
1000, "Built-in", 0.000208
10000, "Sequential", 0.001910
10000, "Parallel", 0.023893
10000, "Built-in", 0.002564
100000, "Sequential", 0.020517
100000, "Parallel", 0.035080
100000, "Built-in", 0.018008
1000000, "Sequential", 0.234936
1000000, "Parallel", 0.192300
1000000, "Built-in", 0.223753
2500000, "Sequential", 0.600348
2500000, "Parallel", 0.539139
2500000, "Built-in", 0.588816
5000000, "Sequential", 1.272019
5000000, "Parallel", 1.200011
5000000, "Built-in", 1.231954
100, "Sequential", 0.000010
100, "Parallel", 0.010692
100, "Built-in", 0.000014
1000, "Sequential", 0.000121
1000, "Parallel", 0.029400
1000, "Built-in", 0.000709
10000, "Sequential", 0.001514
10000, "Parallel", 0.016095
10000, "Built-in", 0.002236
100000, "Sequential", 0.020381
100000, "Parallel", 0.031854
100000, "Built-in", 0.018143
1000000, "Sequential", 0.237261
1000000, "Parallel", 0.254473
1000000, "Built-in", 0.228445
2500000, "Sequential", 0.611318
2500000, "Parallel", 0.585602
2500000, "Built-in", 0.582940
5000000, "Sequential", 1.284802
5000000, "Parallel", 1.537864
5000000, "Built-in", 1.222371
100, "Sequential", 0.000011
100, "Parallel", 0.008734
100, "Built-in", 0.000013
1000, "Sequential", 0.000115
1000, "Parallel", 0.029885
1000, "Built-in", 0.000195
10000, "Sequential", 0.001535
10000, "Parallel", 0.026544
10000, "Built-in", 0.001496
100000, "Sequential", 0.020864
100000, "Parallel", 0.026353
100000, "Built-in", 0.017333
1000000, "Sequential", 0.234277
1000000, "Parallel", 0.193323
1000000, "Built-in", 0.223281
2500000, "Sequential", 0.603877
2500000, "Parallel", 0.624894
2500000, "Built-in", 0.600627
5000000, "Sequential", 1.250593
5000000, "Parallel", 1.177633
5000000, "Built-in", 1.233583
100, "Sequential", 0.000009
100, "Parallel", 0.014426
100, "Built-in", 0.000026
1000, "Sequential", 0.000168
1000, "Parallel", 0.029499
1000, "Built-in", 0.000188
10000, "Sequential", 0.000994
10000, "Parallel", 0.023633
10000, "Built-in", 0.001557
100000, "Sequential", 0.020239
100000, "Parallel", 0.034674
100000, "Built-in", 0.018085
1000000, "Sequential", 0.237816
1000000, "Parallel", 0.231471
1000000, "Built-in", 0.224791
2500000, "Sequential", 0.602491
2500000, "Parallel", 0.583670
2500000, "Built-in", 0.589131
5000000, "Sequential", 1.277724
5000000, "Parallel", 1.175219
5000000, "Built-in", 1.246603
100, "Sequential", 0.000009
100, "Parallel", 0.017637
100, "Built-in", 0.000016
1000, "Sequential", 0.000125
1000, "Parallel", 0.026052
1000, "Built-in", 0.000178
10000, "Sequential", 0.001955
10000, "Parallel", 0.023564
10000, "Built-in", 0.001486
100000, "Sequential", 0.020823
100000, "Parallel", 0.032558
100000, "Built-in", 0.017854
1000000, "Sequential", 0.236455
1000000, "Parallel", 0.179782
1000000, "Built-in", 0.226460
2500000, "Sequential", 0.639811
2500000, "Parallel", 0.734420
2500000, "Built-in", 0.588220
5000000, "Sequential", 1.301385
5000000, "Parallel", 1.502990
5000000, "Built-in", 1.239441
100, "Sequential", 0.000010
100, "Parallel", 0.008867
100, "Built-in", 0.000013
1000, "Sequential", 0.000257
1000, "Parallel", 0.028384
1000, "Built-in", 0.000513
10000, "Sequential", 0.001577
10000, "Parallel", 0.015377
10000, "Built-in", 0.002131
100000, "Sequential", 0.021086
100000, "Parallel", 0.028395
100000, "Built-in", 0.018636
1000000, "Sequential", 0.236868
1000000, "Parallel", 0.288676
1000000, "Built-in", 0.219924
2500000, "Sequential", 0.610545
2500000, "Parallel", 0.518701
2500000, "Built-in", 0.584966
5000000, "Sequential", 1.277449
5000000, "Parallel", 1.199410
5000000, "Built-in", 1.219509
100, "Sequential", 0.000010
100, "Parallel", 0.021153
100, "Built-in", 0.000049
1000, "Sequential", 0.000139
1000, "Parallel", 0.026434
1000, "Built-in", 0.000183
10000, "Sequential", 0.001113
10000, "Parallel", 0.024407
10000, "Built-in", 0.001474
100000, "Sequential", 0.020743
100000, "Parallel", 0.029114
100000, "Built-in", 0.018087
1000000, "Sequential", 0.234101
1000000, "Parallel", 0.176937
1000000, "Built-in", 0.223696
2500000, "Sequential", 0.619239
2500000, "Parallel", 0.606277
2500000, "Built-in", 0.589282
5000000, "Sequential", 1.259493
5000000, "Parallel", 0.967015
5000000, "Built-in", 1.232693
