Size, Type, Time
100, "Sequential", 0.000036
100, "Parallel", 0.040725
100, "Built-in", 0.000014
1000, "Sequential", 0.000145
1000, "Parallel", 0.090194
1000, "Built-in", 0.000182
10000, "Sequential", 0.001660
10000, "Parallel", 0.091891
10000, "Built-in", 0.001533
100000, "Sequential", 0.023526
100000, "Parallel", 0.115264
100000, "Built-in", 0.060438
1000000, "Sequential", 0.240167
1000000, "Parallel", 0.213102
1000000, "Built-in", 0.233257
2500000, "Sequential", 0.609750
2500000, "Parallel", 0.465784
2500000, "Built-in", 0.597471
5000000, "Sequential", 1.248089
5000000, "Parallel", 1.107453
5000000, "Built-in", 1.237576
100, "Sequential", 0.000010
100, "Parallel", 0.063340
100, "Built-in", 0.000027
1000, "Sequential", 0.000123
1000, "Parallel", 0.076204
1000, "Built-in", 0.000185
10000, "Sequential", 0.001566
10000, "Parallel", 0.089585
10000, "Built-in", 0.001503
100000, "Sequential", 0.023404
100000, "Parallel", 0.113892
100000, "Built-in", 0.017964
1000000, "Sequential", 0.243223
1000000, "Parallel", 0.215298
1000000, "Built-in", 0.219382
2500000, "Sequential", 0.613923
2500000, "Parallel", 0.516935
2500000, "Built-in", 0.588883
5000000, "Sequential", 1.288965
5000000, "Parallel", 1.008417
5000000, "Built-in", 1.223294
100, "Sequential", 0.000010
100, "Parallel", 0.063830
100, "Built-in", 0.000014
1000, "Sequential", 0.000115
1000, "Parallel", 0.087168
1000, "Built-in", 0.000182
10000, "Sequential", 0.001548
10000, "Parallel", 0.087617
10000, "Built-in", 0.001493
100000, "Sequential", 0.026096
100000, "Parallel", 0.089053
100000, "Built-in", 0.018014
1000000, "Sequential", 0.239656
1000000, "Parallel", 0.246499
1000000, "Built-in", 0.221012
2500000, "Sequential", 0.632001
2500000, "Parallel", 0.467885
2500000, "Built-in", 0.592150
5000000, "Sequential", 1.272363
5000000, "Parallel", 1.112192
5000000, "Built-in", 1.242667
100, "Sequential", 0.000010
100, "Parallel", 0.069907
100, "Built-in", 0.000015
1000, "Sequential", 0.000115
1000, "Parallel", 0.074352
1000, "Built-in", 0.000194
10000, "Sequential", 0.001533
10000, "Parallel", 0.101522
10000, "Built-in", 0.001487
100000, "Sequential", 0.020513
100000, "Parallel", 0.089138
100000, "Built-in", 0.018629
1000000, "Sequential", 0.246213
1000000, "Parallel", 0.218427
1000000, "Built-in", 0.217662
2500000, "Sequential", 0.620623
2500000, "Parallel", 0.517170
2500000, "Built-in", 0.588309
5000000, "Sequential", 1.259794
5000000, "Parallel", 1.055754
5000000, "Built-in", 1.223289
100, "Sequential", 0.000011
100, "Parallel", 0.062871
100, "Built-in", 0.000015
1000, "Sequential", 0.000131
1000, "Parallel", 0.074128
1000, "Built-in", 0.000222
10000, "Sequential", 0.001557
10000, "Parallel", 0.090329
10000, "Built-in", 0.001522
100000, "Sequential", 0.025915
100000, "Parallel", 0.088113
100000, "Built-in", 0.018301
1000000, "Sequential", 0.258791
1000000, "Parallel", 0.221099
1000000, "Built-in", 0.220087
2500000, "Sequential", 0.596696
2500000, "Parallel", 0.566834
2500000, "Built-in", 0.587151
5000000, "Sequential", 1.255738
5000000, "Parallel", 1.064909
5000000, "Built-in", 1.231771
100, "Sequential", 0.000010
100, "Parallel", 0.065984
100, "Built-in", 0.000015
1000, "Sequential", 0.000120
1000, "Parallel", 0.100658
1000, "Built-in", 0.000184
10000, "Sequential", 0.001652
10000, "Parallel", 0.086647
10000, "Built-in", 0.001489
100000, "Sequential", 0.020686
100000, "Parallel", 0.104770
100000, "Built-in", 0.017997
1000000, "Sequential", 0.235329
1000000, "Parallel", 0.234666
1000000, "Built-in", 0.218731
2500000, "Sequential", 0.618089
2500000, "Parallel", 0.559574
2500000, "Built-in", 0.585361
5000000, "Sequential", 1.266788
5000000, "Parallel", 1.014499
5000000, "Built-in", 1.223034
100, "Sequential", 0.000010
100, "Parallel", 0.052314
100, "Built-in", 0.000015
1000, "Sequential", 0.000113
1000, "Parallel", 0.076489
1000, "Built-in", 0.000181
10000, "Sequential", 0.001494
10000, "Parallel", 0.090350
10000, "Built-in", 0.001473
100000, "Sequential", 0.020960
100000, "Parallel", 0.090025
100000, "Built-in", 0.017978
1000000, "Sequential", 0.236354
1000000, "Parallel", 0.229559
1000000, "Built-in", 0.217830
2500000, "Sequential", 0.617760
2500000, "Parallel", 0.571436
2500000, "Built-in", 0.593617
5000000, "Sequential", 1.269323
5000000, "Parallel", 1.070980
5000000, "Built-in", 1.233539
100, "Sequential", 0.000016
100, "Parallel", 0.063015
100, "Built-in", 0.000014
1000, "Sequential", 0.000173
1000, "Parallel", 0.077319
1000, "Built-in", 0.000185
10000, "Sequential", 0.001527
10000, "Parallel", 0.083220
10000, "Built-in", 0.001508
100000, "Sequential", 0.020764
100000, "Parallel", 0.101115
100000, "Built-in", 0.017989
1000000, "Sequential", 0.235330
1000000, "Parallel", 0.230651
1000000, "Built-in", 0.217940
2500000, "Sequential", 0.619686
2500000, "Parallel", 0.558274
2500000, "Built-in", 0.605161
5000000, "Sequential", 1.267181
5000000, "Parallel", 0.927808
5000000, "Built-in", 1.225743
100, "Sequential", 0.000009
100, "Parallel", 0.059896
100, "Built-in", 0.000016
1000, "Sequential", 0.000117
1000, "Parallel", 0.069635
1000, "Built-in", 0.000185
10000, "Sequential", 0.001616
10000, "Parallel", 0.084584
10000, "Built-in", 0.001644
100000, "Sequential", 0.020175
100000, "Parallel", 0.106080
100000, "Built-in", 0.017904
1000000, "Sequential", 0.231056
1000000, "Parallel", 0.222787
1000000, "Built-in", 0.220402
2500000, "Sequential", 0.600966
2500000, "Parallel", 0.541546
2500000, "Built-in", 0.590548
5000000, "Sequential", 1.270215
5000000, "Parallel", 1.003847
5000000, "Built-in", 1.230958
100, "Sequential", 0.000010
100, "Parallel", 0.055483
100, "Built-in", 0.000019
1000, "Sequential", 0.000117
1000, "Parallel", 0.082670
1000, "Built-in", 0.000180
10000, "Sequential", 0.001521
10000, "Parallel", 0.089420
10000, "Built-in", 0.001477
100000, "Sequential", 0.020967
100000, "Parallel", 0.090187
100000, "Built-in", 0.018024
1000000, "Sequential", 0.236658
1000000, "Parallel", 0.227052
1000000, "Built-in", 0.218295
2500000, "Sequential", 0.614505
2500000, "Parallel", 0.495016
2500000, "Built-in", 0.588666
5000000, "Sequential", 1.246750
5000000, "Parallel", 1.121694
5000000, "Built-in", 1.230733
100, "Sequential", 0.000011
100, "Parallel", 0.044130
100, "Built-in", 0.000017
1000, "Sequential", 0.000125
1000, "Parallel", 0.093573
1000, "Built-in", 0.000192
10000, "Sequential", 0.001576
10000, "Parallel", 0.090208
10000, "Built-in", 0.001483
100000, "Sequential", 0.021656
100000, "Parallel", 0.098271
100000, "Built-in", 0.017993
1000000, "Sequential", 0.252413
1000000, "Parallel", 0.246726
1000000, "Built-in", 0.224493
2500000, "Sequential", 0.606983
2500000, "Parallel", 0.622509
2500000, "Built-in", 0.589992
5000000, "Sequential", 1.267070
5000000, "Parallel", 1.102602
5000000, "Built-in", 1.231659
100, "Sequential", 0.000011
100, "Parallel", 0.050163
100, "Built-in", 0.000015
1000, "Sequential", 0.000124
1000, "Parallel", 0.072643
1000, "Built-in", 0.000183
10000, "Sequential", 0.001663
10000, "Parallel", 0.089696
10000, "Built-in", 0.001540
100000, "Sequential", 0.022753
100000, "Parallel", 0.092570
100000, "Built-in", 0.018386
1000000, "Sequential", 0.233226
1000000, "Parallel", 0.214869
1000000, "Built-in", 0.218181
2500000, "Sequential", 0.610627
2500000, "Parallel", 0.596038
2500000, "Built-in", 0.590167
5000000, "Sequential", 1.260370
5000000, "Parallel", 1.062129
5000000, "Built-in", 1.231463
100, "Sequential", 0.000010
100, "Parallel", 0.064009
100, "Built-in", 0.000015
1000, "Sequential", 0.000146
1000, "Parallel", 0.088468
1000, "Built-in", 0.000186
10000, "Sequential", 0.001700
10000, "Parallel", 0.082898
10000, "Built-in", 0.001496
100000, "Sequential", 0.020739
100000, "Parallel", 0.083776
100000, "Built-in", 0.017889
1000000, "Sequential", 0.241842
1000000, "Parallel", 0.209313
1000000, "Built-in", 0.217251
2500000, "Sequential", 0.612471
2500000, "Parallel", 0.509523
2500000, "Built-in", 0.590331
5000000, "Sequential", 1.255070
5000000, "Parallel", 1.104246
5000000, "Built-in", 1.229375
100, "Sequential", 0.000010
100, "Parallel", 0.051552
100, "Built-in", 0.000015
1000, "Sequential", 0.000116
1000, "Parallel", 0.071885
1000, "Built-in", 0.000248
10000, "Sequential", 0.001541
10000, "Parallel", 0.103056
10000, "Built-in", 0.001605
100000, "Sequential", 0.021520
100000, "Parallel", 0.114682
100000, "Built-in", 0.017799
1000000, "Sequential", 0.235545
1000000, "Parallel", 0.229885
1000000, "Built-in", 0.218731
2500000, "Sequential", 0.611316
2500000, "Parallel", 0.517789
2500000, "Built-in", 0.591196
5000000, "Sequential", 1.251242
5000000, "Parallel", 1.039507
5000000, "Built-in", 1.226638
100, "Sequential", 0.000009
100, "Parallel", 0.043552
100, "Built-in", 0.000035
1000, "Sequential", 0.000140
1000, "Parallel", 0.087565
1000, "Built-in", 0.003120
10000, "Sequential", 0.001558
10000, "Parallel", 0.091356
10000, "Built-in", 0.001478
100000, "Sequential", 0.027443
100000, "Parallel", 0.085440
100000, "Built-in", 0.018641
1000000, "Sequential", 0.234318
1000000, "Parallel", 0.207368
1000000, "Built-in", 0.217428
2500000, "Sequential", 0.615723
2500000, "Parallel", 0.566743
2500000, "Built-in", 0.589690
5000000, "Sequential", 1.346364
5000000, "Parallel", 1.048516
5000000, "Built-in", 1.279262
100, "Sequential", 0.000014
100, "Parallel", 0.023178
100, "Built-in", 0.000015
1000, "Sequential", 0.000118
1000, "Parallel", 0.078363
1000, "Built-in", 0.000185
10000, "Sequential", 0.001562
10000, "Parallel", 0.091006
10000, "Built-in", 0.001515
100000, "Sequential", 0.020951
100000, "Parallel", 0.098432
100000, "Built-in", 0.018163
1000000, "Sequential", 0.235477
1000000, "Parallel", 0.235898
1000000, "Built-in", 0.218725
2500000, "Sequential", 0.607027
2500000, "Parallel", 0.494204
2500000, "Built-in", 0.591519
5000000, "Sequential", 1.290323
5000000, "Parallel", 0.978102
5000000, "Built-in", 1.229345
100, "Sequential", 0.000010
100, "Parallel", 0.064264
100, "Built-in", 0.000015
1000, "Sequential", 0.000117
1000, "Parallel", 0.072992
1000, "Built-in", 0.000199
10000, "Sequential", 0.001553
10000, "Parallel", 0.087063
10000, "Built-in", 0.001493
100000, "Sequential", 0.023714
100000, "Parallel", 0.095125
100000, "Built-in", 0.018008
1000000, "Sequential", 0.237742
1000000, "Parallel", 0.219141
1000000, "Built-in", 0.220238
2500000, "Sequential", 0.605690
2500000, "Parallel", 0.475127
2500000, "Built-in", 0.591510
5000000, "Sequential", 1.262542
5000000, "Parallel", 1.204990
5000000, "Built-in", 1.247314
100, "Sequential", 0.000010
100, "Parallel", 0.058155
100, "Built-in", 0.000014
1000, "Sequential", 0.000131
1000, "Parallel", 0.080106
1000, "Built-in", 0.000212
10000, "Sequential", 0.001558
