Size, Type, Time
100, "Sequential", 0.000010
100, "Parallel", 0.003903
100, "Built-in", 0.000013
1000, "Sequential", 0.000119
1000, "Parallel", 0.009049
1000, "Built-in", 0.000470
10000, "Sequential", 0.001721
10000, "Parallel", 0.011802
10000, "Built-in", 0.002215
100000, "Sequential", 0.019972
100000, "Parallel", 0.048427
100000, "Built-in", 0.017947
1000000, "Sequential", 0.247593
1000000, "Parallel", 0.165014
1000000, "Built-in", 0.219610
2500000, "Sequential", 0.602532
2500000, "Parallel", 0.478726
2500000, "Built-in", 0.586828
5000000, "Sequential", 1.284756
5000000, "Parallel", 0.900515
5000000, "Built-in", 1.235737
100, "Sequential", 0.000010
100, "Parallel", 0.002935
100, "Built-in", 0.000013
1000, "Sequential", 0.000120
1000, "Parallel", 0.005234
1000, "Built-in", 0.000214
10000, "Sequential", 0.001578
10000, "Parallel", 0.005255
10000, "Built-in", 0.002099
100000, "Sequential", 0.021011
100000, "Parallel", 0.019423
100000, "Built-in", 0.017844
1000000, "Sequential", 0.242502
1000000, "Parallel", 0.179706
1000000, "Built-in", 0.225368
2500000, "Sequential", 0.605561
2500000, "Parallel", 0.519348
2500000, "Built-in", 0.585067
5000000, "Sequential", 1.281910
5000000, "Parallel", 0.871951
5000000, "Built-in", 1.226811
100, "Sequential", 0.000010
100, "Parallel", 0.005270
100, "Built-in", 0.000014
1000, "Sequential", 0.000135
1000, "Parallel", 0.005336
1000, "Built-in", 0.000171
10000, "Sequential", 0.002125
10000, "Parallel", 0.013082
10000, "Built-in", 0.002346
100000, "Sequential", 0.020704
100000, "Parallel", 0.023385
100000, "Built-in", 0.018299
1000000, "Sequential", 0.241537
1000000, "Parallel", 0.191961
1000000, "Built-in", 0.220896
2500000, "Sequential", 0.611383
2500000, "Parallel", 0.477936
2500000, "Built-in", 0.585728
5000000, "Sequential", 1.288780
5000000, "Parallel", 0.791541
5000000, "Built-in", 1.234577
100, "Sequential", 0.000012
100, "Parallel", 0.003228
100, "Built-in", 0.000023
1000, "Sequential", 0.000136
1000, "Parallel", 0.004793
1000, "Built-in", 0.000197
10000, "Sequential", 0.001606
10000, "Parallel", 0.010479
10000, "Built-in", 0.001814
100000, "Sequential", 0.022870
100000, "Parallel", 0.026192
100000, "Built-in", 0.018150
1000000, "Sequential", 0.241305
1000000, "Parallel", 0.194351
1000000, "Built-in", 0.220058
2500000, "Sequential", 0.605898
2500000, "Parallel", 0.495498
2500000, "Built-in", 0.586375
5000000, "Sequential", 1.265897
5000000, "Parallel", 0.920509
5000000, "Built-in", 1.227644
100, "Sequential", 0.000011
100, "Parallel", 0.004190
100, "Built-in", 0.000013
1000, "Sequential", 0.000117
1000, "Parallel", 0.006216
1000, "Built-in", 0.000177
10000, "Sequential", 0.001908
10000, "Parallel", 0.013877
10000, "Built-in", 0.001986
100000, "Sequential", 0.020968
100000, "Parallel", 0.025011
100000, "Built-in", 0.018463
1000000, "Sequential", 0.230982
1000000, "Parallel", 0.194108
1000000, "Built-in", 0.221191
2500000, "Sequential", 0.608119
2500000, "Parallel", 0.511155
2500000, "Built-in", 0.586860
5000000, "Sequential", 1.271488
5000000, "Parallel", 0.873449
5000000, "Built-in", 1.241708
100, "Sequential", 0.000010
100, "Parallel", 0.003988
100, "Built-in", 0.000014
1000, "Sequential", 0.000129
1000, "Parallel", 0.004215
1000, "Built-in", 0.000197
10000, "Sequential", 0.001527
10000, "Parallel", 0.011582
10000, "Built-in", 0.001667
100000, "Sequential", 0.021465
100000, "Parallel", 0.022085
100000, "Built-in", 0.018045
1000000, "Sequential", 0.240992
1000000, "Parallel", 0.180024
1000000, "Built-in", 0.219669
2500000, "Sequential", 0.630654
2500000, "Parallel", 0.491551
2500000, "Built-in", 0.585131
5000000, "Sequential", 1.316006
5000000, "Parallel", 0.926947
5000000, "Built-in", 1.222825
100, "Sequential", 0.000010
100, "Parallel", 0.003464
100, "Built-in", 0.000013
1000, "Sequential", 0.000121
1000, "Parallel", 0.003774
1000, "Built-in", 0.000180
10000, "Sequential", 0.001551
10000, "Parallel", 0.009318
10000, "Built-in", 0.002039
100000, "Sequential", 0.021287
100000, "Parallel", 0.021951
100000, "Built-in", 0.017773
1000000, "Sequential", 0.240371
1000000, "Parallel", 0.202190
1000000, "Built-in", 0.221941
2500000, "Sequential", 0.607521
2500000, "Parallel", 0.466454
2500000, "Built-in", 0.587300
5000000, "Sequential", 1.262750
5000000, "Parallel", 1.027578
5000000, "Built-in", 1.232990
100, "Sequential", 0.000011
