Size, Type, Time
100, "Sequential", 0.000010
100, "Parallel", 0.061351
100, "Built-in", 0.000024
1000, "Sequential", 0.000124
1000, "Parallel", 0.086199
1000, "Built-in", 0.000183
10000, "Sequential", 0.001536
10000, "Parallel", 0.082941
10000, "Built-in", 0.001600
100000, "Sequential", 0.024236
100000, "Parallel", 0.076769
100000, "Built-in", 0.018246
1000000, "Sequential", 0.235454
1000000, "Parallel", 0.301450
1000000, "Built-in", 0.217599
2500000, "Sequential", 0.599849
2500000, "Parallel", 0.680240
2500000, "Built-in", 0.591209
5000000, "Sequential", 1.262570
5000000, "Parallel", 1.440077
5000000, "Built-in", 1.234719
100, "Sequential", 0.000009
100, "Parallel", 0.064632
100, "Built-in", 0.000018
1000, "Sequential", 0.000144
1000, "Parallel", 0.072282
1000, "Built-in", 0.000188
10000, "Sequential", 0.001989
10000, "Parallel", 0.074929
10000, "Built-in", 0.001482
100000, "Sequential", 0.019796
100000, "Parallel", 0.082269
100000, "Built-in", 0.018359
1000000, "Sequential", 0.237175
1000000, "Parallel", 0.243694
1000000, "Built-in", 0.216753
2500000, "Sequential", 0.624552
2500000, "Parallel", 0.669725
2500000, "Built-in", 0.588780
5000000, "Sequential", 1.253170
5000000, "Parallel", 1.508112
5000000, "Built-in", 1.218445
100, "Sequential", 0.000010
100, "Parallel", 0.056460
100, "Built-in", 0.000014
1000, "Sequential", 0.000115
1000, "Parallel", 0.065901
1000, "Built-in", 0.000186
10000, "Sequential", 0.001493
10000, "Parallel", 0.085078
10000, "Built-in", 0.001492
100000, "Sequential", 0.023686
100000, "Parallel", 0.088367
100000, "Built-in", 0.018396
1000000, "Sequential", 0.235713
1000000, "Parallel", 0.223866
1000000, "Built-in", 0.218052
2500000, "Sequential", 0.605578
2500000, "Parallel", 0.636597
2500000, "Built-in", 0.593504
5000000, "Sequential", 1.275623
5000000, "Parallel", 1.296394
5000000, "Built-in", 1.240143
100, "Sequential", 0.000008
100, "Parallel", 0.069279
100, "Built-in", 0.000024
1000, "Sequential", 0.000122
1000, "Parallel", 0.077599
1000, "Built-in", 0.000184
10000, "Sequential", 0.001543
10000, "Parallel", 0.079721
10000, "Built-in", 0.001600
100000, "Sequential", 0.020139
100000, "Parallel", 0.093919
100000, "Built-in", 0.018180
1000000, "Sequential", 0.233267
1000000, "Parallel", 0.259766
1000000, "Built-in", 0.218912
2500000, "Sequential", 0.597913
2500000, "Parallel", 0.666424
2500000, "Built-in", 0.585557
5000000, "Sequential", 1.242422
5000000, "Parallel", 1.232632
5000000, "Built-in", 1.237214
100, "Sequential", 0.000010
100, "Parallel", 0.065408
100, "Built-in", 0.000018
1000, "Sequential", 0.000130
1000, "Parallel", 0.067283
1000, "Built-in", 0.000192
10000, "Sequential", 0.001528
10000, "Parallel", 0.079884
10000, "Built-in", 0.001741
100000, "Sequential", 0.022732
100000, "Parallel", 0.074852
100000, "Built-in", 0.018143
1000000, "Sequential", 0.237483
1000000, "Parallel", 0.221800
1000000, "Built-in", 0.217048
2500000, "Sequential", 0.601245
2500000, "Parallel", 0.545155
2500000, "Built-in", 0.608285
5000000, "Sequential", 1.266551
5000000, "Parallel", 1.478902
5000000, "Built-in", 1.231076
100, "Sequential", 0.000010
100, "Parallel", 0.022445
100, "Built-in", 0.000015
1000, "Sequential", 0.000122
1000, "Parallel", 0.059838
1000, "Built-in", 0.000195
10000, "Sequential", 0.001090
10000, "Parallel", 0.080098
10000, "Built-in", 0.001609
100000, "Sequential", 0.022191
100000, "Parallel", 0.088386
100000, "Built-in", 0.018289
1000000, "Sequential", 0.238320
1000000, "Parallel", 0.263168
1000000, "Built-in", 0.220463
2500000, "Sequential", 0.610562
2500000, "Parallel", 0.723888
2500000, "Built-in", 0.633618
5000000, "Sequential", 1.408859
5000000, "Parallel", 1.424076
5000000, "Built-in", 1.214420
100, "Sequential", 0.000010
100, "Parallel", 0.043781
