Size, Type, Time
100, "Sequential", 0.000010
100, "Parallel", 0.001806
100, "Built-in", 0.000012
1000, "Sequential", 0.000115
1000, "Parallel", 0.003255
1000, "Built-in", 0.000211
10000, "Sequential", 0.002115
10000, "Parallel", 0.003776
10000, "Built-in", 0.002135
100000, "Sequential", 0.026702
100000, "Parallel", 0.027982
100000, "Built-in", 0.018077
1000000, "Sequential", 0.240170
1000000, "Parallel", 0.164384
1000000, "Built-in", 0.226726
2500000, "Sequential", 0.600601
2500000, "Parallel", 0.651643
2500000, "Built-in", 0.584805
5000000, "Sequential", 1.280546
5000000, "Parallel", 0.897249
5000000, "Built-in", 1.241146
100, "Sequential", 0.000000
100, "Parallel", 0.000709
100, "Built-in", 0.000012
1000, "Sequential", 0.000119
1000, "Parallel", 0.002089
1000, "Built-in", 0.000219
10000, "Sequential", 0.001640
10000, "Parallel", 0.002364
10000, "Built-in", 0.001386
100000, "Sequential", 0.022491
100000, "Parallel", 0.023524
100000, "Built-in", 0.017832
1000000, "Sequential", 0.232177
1000000, "Parallel", 0.164525
1000000, "Built-in", 0.218676
2500000, "Sequential", 0.597080
2500000, "Parallel", 0.616760
2500000, "Built-in", 0.586096
5000000, "Sequential", 1.246528
5000000, "Parallel", 0.900191
5000000, "Built-in", 1.220662
100, "Sequential", 0.000010
100, "Parallel", 0.001132
100, "Built-in", 0.000012
1000, "Sequential", 0.000110
1000, "Parallel", 0.000824
1000, "Built-in", 0.000157
10000, "Sequential", 0.001553
10000, "Parallel", 0.002921
10000, "Built-in", 0.001459
100000, "Sequential", 0.026185
100000, "Parallel", 0.019879
100000, "Built-in", 0.017634
1000000, "Sequential", 0.234474
1000000, "Parallel", 0.206494
1000000, "Built-in", 0.222120
2500000, "Sequential", 0.618971
2500000, "Parallel", 0.633756
2500000, "Built-in", 0.585629
5000000, "Sequential", 1.272616
5000000, "Parallel", 0.988266
5000000, "Built-in", 1.243071
100, "Sequential", 0.000019
100, "Parallel", 0.000860
100, "Built-in", 0.000013
1000, "Sequential", 0.000119
1000, "Parallel", 0.000700
