Size, Type, Time
100, "Sequential", 0.000010
100, "Parallel", 0.018159
100, "Built-in", 0.000043
1000, "Sequential", 0.000122
1000, "Parallel", 0.063692
1000, "Built-in", 0.000217
10000, "Sequential", 0.001446
10000, "Parallel", 0.022036
10000, "Built-in", 0.001482
100000, "Sequential", 0.025239
100000, "Parallel", 0.040482
100000, "Built-in", 0.018408
1000000, "Sequential", 0.236965
1000000, "Parallel", 0.212410
1000000, "Built-in", 0.217789
2500000, "Sequential", 0.612599
2500000, "Parallel", 0.458785
2500000, "Built-in", 0.586945
5000000, "Sequential", 1.272458
5000000, "Parallel", 1.005904
5000000, "Built-in", 1.332580
100, "Sequential", 0.000009
100, "Parallel", 0.022611
100, "Built-in", 0.000058
1000, "Sequential", 0.000117
1000, "Parallel", 0.024126
1000, "Built-in", 0.000180
10000, "Sequential", 0.001359
10000, "Parallel", 0.015995
10000, "Built-in", 0.002231
100000, "Sequential", 0.023628
100000, "Parallel", 0.026298
100000, "Built-in", 0.017579
1000000, "Sequential", 0.228389
1000000, "Parallel", 0.183125
1000000, "Built-in", 0.222597
2500000, "Sequential", 0.615390
2500000, "Parallel", 0.443192
2500000, "Built-in", 0.582711
5000000, "Sequential", 1.275013
5000000, "Parallel", 1.395624
5000000, "Built-in", 1.223141
100, "Sequential", 0.000010
100, "Parallel", 0.007457
100, "Built-in", 0.000022
1000, "Sequential", 0.000115
1000, "Parallel", 0.028942
1000, "Built-in", 0.000200
10000, "Sequential", 0.001582
10000, "Parallel", 0.017781
10000, "Built-in", 0.001254
100000, "Sequential", 0.023112
100000, "Parallel", 0.037985
100000, "Built-in", 0.017846
1000000, "Sequential", 0.241632
1000000, "Parallel", 0.183206
1000000, "Built-in", 0.222027
2500000, "Sequential", 0.616004
2500000, "Parallel", 0.491190
2500000, "Built-in", 0.585349
5000000, "Sequential", 1.247008
5000000, "Parallel", 1.047723
5000000, "Built-in", 1.232386
100, "Sequential", 0.000009
100, "Parallel", 0.006536
100, "Built-in", 0.000013
1000, "Sequential", 0.000118
1000, "Parallel", 0.029526
1000, "Built-in", 0.000493
10000, "Sequential", 0.001561
10000, "Parallel", 0.012589
10000, "Built-in", 0.001764
100000, "Sequential", 0.020795
100000, "Parallel", 0.032922
100000, "Built-in", 0.018405
1000000, "Sequential", 0.237738
1000000, "Parallel", 0.321164
1000000, "Built-in", 0.218009
2500000, "Sequential", 0.609798
2500000, "Parallel", 0.766231
2500000, "Built-in", 0.582236
5000000, "Sequential", 1.243796
5000000, "Parallel", 0.999748
5000000, "Built-in", 1.244108
100, "Sequential", 0.000010
100, "Parallel", 0.011451
100, "Built-in", 0.000013
1000, "Sequential", 0.000118
1000, "Parallel", 0.022030
1000, "Built-in", 0.000526
10000, "Sequential", 0.002384
10000, "Parallel", 0.023004
10000, "Built-in", 0.001493
100000, "Sequential", 0.020214
100000, "Parallel", 0.038428
100000, "Built-in", 0.018064
1000000, "Sequential", 0.230523
1000000, "Parallel", 0.296935
1000000, "Built-in", 0.217333
2500000, "Sequential", 0.627150
2500000, "Parallel", 0.494839
2500000, "Built-in", 0.586488
5000000, "Sequential", 1.258906
5000000, "Parallel", 1.365991
5000000, "Built-in", 1.251259
100, "Sequential", 0.000010
100, "Parallel", 0.015099
100, "Built-in", 0.000030
1000, "Sequential", 0.000122
1000, "Parallel", 0.027494
1000, "Built-in", 0.000190
10000, "Sequential", 0.001931
10000, "Parallel", 0.022386
10000, "Built-in", 0.001731
100000, "Sequential", 0.020138
100000, "Parallel", 0.027511
100000, "Built-in", 0.017982
1000000, "Sequential", 0.236499
1000000, "Parallel", 0.260241
1000000, "Built-in", 0.214693
2500000, "Sequential", 0.617703
2500000, "Parallel", 0.632515
2500000, "Built-in", 0.590722
5000000, "Sequential", 1.259154
5000000, "Parallel", 1.281650
5000000, "Built-in", 1.228800
100, "Sequential", 0.000010
100, "Parallel", 0.017190
100, "Built-in", 0.000085
1000, "Sequential", 0.000139
1000, "Parallel", 0.028375
1000, "Built-in", 0.000182
10000, "Sequential", 0.001465
10000, "Parallel", 0.025360
10000, "Built-in", 0.001307
100000, "Sequential", 0.022375
100000, "Parallel", 0.028678
100000, "Built-in", 0.018354
1000000, "Sequential", 0.235151
1000000, "Parallel", 0.292763
1000000, "Built-in", 0.220083
2500000, "Sequential", 0.613032
2500000, "Parallel", 0.611644
2500000, "Built-in", 0.611459
5000000, "Sequential", 1.283625
5000000, "Parallel", 1.029898
5000000, "Built-in", 1.250268
100, "Sequential", 0.000010
100, "Parallel", 0.018561
100, "Built-in", 0.000026
1000, "Sequential", 0.000113
1000, "Parallel", 0.022614
1000, "Built-in", 0.000254
10000, "Sequential", 0.001490
10000, "Parallel", 0.023412
10000, "Built-in", 0.002604
100000, "Sequential", 0.022758
100000, "Parallel", 0.032951
100000, "Built-in", 0.018080
1000000, "Sequential", 0.260366
1000000, "Parallel", 0.210687
1000000, "Built-in", 0.241397
2500000, "Sequential", 0.625479
2500000, "Parallel", 0.484180
2500000, "Built-in", 0.619831
5000000, "Sequential", 1.272961
5000000, "Parallel", 1.206269
5000000, "Built-in", 1.238552
100, "Sequential", 0.000010
100, "Parallel", 0.012817
100, "Built-in", 0.000022
1000, "Sequential", 0.000151
1000, "Parallel", 0.035971
1000, "Built-in", 0.000582
10000, "Sequential", 0.001500
10000, "Parallel", 0.027731
10000, "Built-in", 0.001477
100000, "Sequential", 0.022154
100000, "Parallel", 0.028697
100000, "Built-in", 0.018218
1000000, "Sequential", 0.231106
1000000, "Parallel", 0.297833
1000000, "Built-in", 0.218840
2500000, "Sequential", 0.606288
2500000, "Parallel", 0.546079
2500000, "Built-in", 0.586567
5000000, "Sequential", 1.259148
5000000, "Parallel", 1.148743
5000000, "Built-in", 1.237836
100, "Sequential", 0.000010
100, "Parallel", 0.021155
100, "Built-in", 0.000046
1000, "Sequential", 0.000152
1000, "Parallel", 0.017725
1000, "Built-in", 0.000296
10000, "Sequential", 0.001511
10000, "Parallel", 0.021287
10000, "Built-in", 0.001987
100000, "Sequential", 0.030968
100000, "Parallel", 0.032533
100000, "Built-in", 0.018489
1000000, "Sequential", 0.235631
1000000, "Parallel", 0.195311
1000000, "Built-in", 0.225525
2500000, "Sequential", 0.601586
2500000, "Parallel", 0.561459
2500000, "Built-in", 0.587383
5000000, "Sequential", 1.265348
5000000, "Parallel", 0.967158
5000000, "Built-in", 1.271665
100, "Sequential", 0.000010
100, "Parallel", 0.017588
100, "Built-in", 0.000021
1000, "Sequential", 0.000120
1000, "Parallel", 0.027789
1000, "Built-in", 0.000188
10000, "Sequential", 0.001543
10000, "Parallel", 0.016483
10000, "Built-in", 0.001909
100000, "Sequential", 0.019370
100000, "Parallel", 0.031609
100000, "Built-in", 0.018760
1000000, "Sequential", 0.231625
1000000, "Parallel", 0.244235
1000000, "Built-in", 0.215642
2500000, "Sequential", 0.616840
2500000, "Parallel", 0.557474
2500000, "Built-in", 0.589135
5000000, "Sequential", 1.240909
5000000, "Parallel", 1.439141
5000000, "Built-in", 1.264171
